name,location_color,location,year_color,year
1-I8/TW/2008,#89cd3f,TWN,#f05c79,2008
2011-21186,#F0222B,CHN,#e91640,2011
2011-21282,#F0222B,CHN,#e91640,2011
2011-21286,#F0222B,CHN,#e91640,2011
2012-12225,#F0222B,CHN,#dc143c,2012
2013-0720-6,#F0222B,CHN,#d2143a,2013
2013-0825-6,#F0222B,CHN,#d2143a,2013
2013-1017-26,#F0222B,CHN,#d2143a,2013
2014-R0672,#F0222B,CHN,#bb1133,2014
2014-R1011,#F0222B,CHN,#bb1133,2014
2014-R1153,#F0222B,CHN,#bb1133,2014
2014-R1357,#F0222B,CHN,#bb1133,2014
2014-R970,#F0222B,CHN,#bb1133,2014
4310900947_RD2,#ffb732,NLD,#ee4466,2009
4310900947_RD3,#ffb732,NLD,#ee4466,2009
4310901348_RD2,#ffb732,NLD,#ee4466,2009
4310902042_RD2,#ffb732,NLD,#ee4466,2009
4310902042_RD3,#ffb732,NLD,#ee4466,2009
4310902284_RD2,#ffb732,NLD,#ee4466,2009
4311000670_tMK3RD1,#ffb732,NLD,#eb2d53,2010
4311000742_tMK3RD1,#ffb732,NLD,#eb2d53,2010
594-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
639-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
692-Osaka_City-JPN-2013,#D3D3D3,JPN,#d2143a,2013
705-Osaka_City-JPN-2013,#D3D3D3,JPN,#d2143a,2013
726-Osaka_City-JPN-2013,#D3D3D3,JPN,#d2143a,2013
727-Osaka_City-JPN-2013,#D3D3D3,JPN,#d2143a,2013
A184-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
A241-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
A244-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
A250-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
A252-OsakaC-JPN-2015,#D3D3D3,JPN,#a30f2d,2015
BCH4235A,#F0222B,CHN,#bb1133,2014
BCH824A,#F0222B,CHN,#f05c79,2008
BCH895A,#F0222B,CHN,#f05c79,2008
Beijing-R0132,#F0222B,CHN,#bb1133,2014
BJ24,#F0222B,CHN,#f05c79,2008
CA/AFP/11-1767,#698fda,USA,#d2143a,2013
CA/RESP/10-786,#698fda,USA,#d2143a,2013
CHN/CQ5508/2013,#F0222B,CHN,#d2143a,2013
CHN/CQ5571/2013,#F0222B,CHN,#d2143a,2013
CHN/CQ7170/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7174/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7188/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7208/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7214/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7225/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7226/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7233/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7280/2014,#F0222B,CHN,#bb1133,2014
CHN/CQ7360/2014,#F0222B,CHN,#bb1133,2014
CQ5313,#F0222B,CHN,#d2143a,2013
CU134,#E59D95,THA,#e91640,2011
CU171,#E59D95,THA,#e91640,2011
CU70,#E59D95,THA,#e91640,2011
CUHK-PAE01/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE02/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE03/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE04/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE05/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE06/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE07/15, #ff33a0,HKG,#a30f2d,2015
CUHK-PAE08/15, #ff33a0,HKG,#a30f2d,2015
EV-D68/environment/Gainesville/1/2015,#698fda,USA,#a30f2d,2015
EV-D68/Haiti/1/2014,#E7D752,HTI,#bb1133,2014
EV-D68/Homo_sapiens/USA/C2204/2003,#698fda,USA,#f8b9c6,2003
EV-D68/Homo_sapiens/USA/C2206/2003,#698fda,USA,#f8b9c6,2003
EV-D68/Homo_sapiens/USA/C2386/2003,#698fda,USA,#f8b9c6,2003
EV-D68/Homo_sapiens/USA/C2590/2000,#698fda,USA,#fde8ec,2000
EV-D68/Homo_sapiens/USA/C3256/2003,#698fda,USA,#f8b9c6,2003
EV-D68/Homo_sapiens/USA/C3486/2005,#698fda,USA,#f6a2b3,2005
EV-D68/Homo_sapiens/USA/C3578/2000,#698fda,USA,#fde8ec,2000
EV-D68/Homo_sapiens/USA/C3963/2000,#698fda,USA,#fde8ec,2000
EV-D68/Homo_sapiens/USA/C6261/2000,#698fda,USA,#fde8ec,2000
EV-D68/Homo_sapiens/USA/C6633/2000,#698fda,USA,#fde8ec,2000
EV-D68/Homo_sapiens/USA/C6832/2009,#698fda,USA,#ee4466,2009
EV-D68/Homo_sapiens/USA/C6840/2009,#698fda,USA,#ee4466,2009
EV-D68/Homo_sapiens/USA/C6944/2006,#698fda,USA,#f48aa0,2006
EV-D68/Homo_sapiens/USA/C7245/2011,#698fda,USA,#e91640,2011
EV-D68/Homo_sapiens/USA/C7396/2012,#698fda,USA,#dc143c,2012
EV-D68/Homo_sapiens/USA/C7413/2012,#698fda,USA,#dc143c,2012
